player_name,player_id,season,season_type,team,G,poss,min_played,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Kendrick Nunn,nunnke01,2021,PO,MIA,56,202,93,-3.038211394,2.50887979,-0.529331604,0.98884635,-7.522183474,-6.533337124,-2.171850161,0.552208825,-1.619641336,0.055969072,0,0.055969072,-2.973265481,-2.179654806,-5.152920287,1.156150837
Kendrick Nunn,nunnke01,2021,RS,MIA,56,3351,1650,0.245320786,-0.991440669,-0.746119883,1.750054814,-2.438640948,-0.688586134,0.588648676,-1.369033491,-0.780384814,1.655326059,1.655326059,0,0.470778022,-0.942745807,-0.471967785,-0.167783715
Jusuf Nurkic,nurkiju01,2021,PO,POR,37,232,116,3.221651613,-3.720547088,-0.498895475,11.67799803,18.59940864,30.27740667,5.086442756,0.620587724,5.707030479,0.512467146,0,0.512467146,2.994006359,0.693062874,3.687069233,-0.710007845
Jusuf Nurkic,nurkiju01,2021,RS,POR,37,1874,880,-0.825896668,4.979388425,4.153491757,-1.205448937,4.945457506,3.740008569,-1.032800589,5.320995344,4.288194755,3.194012094,3.194012094,0,-0.603003756,4.38471559,3.781711835,1.087469078
David Nwaba,nwabada01,2021,RS,HOU,30,1456,679,-0.247410203,3.515196581,3.267786379,-0.773317373,2.360781668,1.587464295,-0.324995075,3.542599434,3.217604358,2.071174914,2.071174914,0,-1.071613189,3.280806956,2.209193767,0.187696838
Jordan Nwora,nworajo01,2021,PO,MIL,30,26,13,-12.01133487,4.190759058,-7.820575814,-18.89441988,22.09658265,3.20216277,-14.26647916,7.72873419,-6.537744972,-0.025409012,0,-0.025409012,-14.25454584,3.143604178,-11.11094166,-1.894890848
Jordan Nwora,nworajo01,2021,RS,MIL,30,604,274,0.933439246,-0.706650763,0.226788483,-1.85542876,2.004932999,0.149504239,0.288531663,-0.226217423,0.062314241,0.399714612,0.399714612,0,1.929174552,-1.090103545,0.839071007,1.686856684
Semi Ojeleye,ojelese01,2021,PO,BOS,56,16,7,-16.40303105,6.739323009,-9.663708043,-21.26744659,2.400018012,-18.86742858,-18.32869614,6.358167881,-11.97052826,-0.034196846,0,-0.034196846,-16.62207627,3.046518329,-13.57555794,0.674476105
Semi Ojeleye,ojelese01,2021,RS,BOS,56,1959,950,-1.501728714,-0.340181083,-1.841909797,-2.548695854,2.980439024,0.43174317,-1.840009763,0.328547028,-1.511462735,0.595322515,0.595322515,0,-1.673153245,-0.660613967,-2.333767212,-0.838366719
Jahlil Okafor,okafoja01,2021,RS,DET,27,721,347,-2.94915049,-4.688065674,-7.637216164,-5.805670412,-0.668469082,-6.474139494,-3.676104166,-4.106168452,-7.782272618,-0.884074149,-0.884074149,0,-4.498099039,-3.811403937,-8.309502975,-0.774838645
Chuma Okeke,okekech01,2021,RS,ORL,45,2380,1133,-1.441129225,1.245067558,-0.196061667,-1.354543073,3.165871392,1.811328319,-1.448137989,1.762383017,0.314245027,1.767230565,1.767230565,0,-1.920702246,1.078473943,-0.842228303,-0.232387448
Josh Okogie,okogijo01,2021,RS,MIN,59,2567,1197,-2.246215486,2.015800377,-0.230415109,-1.824952604,0.212207,-1.612745604,-2.296370592,1.804311459,-0.492059133,1.383131098,1.383131098,0,-2.580725359,2.536108126,-0.044617233,0.306483942
Onyeka Okongwu,okongon01,2021,PO,ATL,50,31,14,-8.953032949,-12.56829497,-21.52132792,-14.55200028,13.92342462,-0.628575663,-10.83142528,-7.929950549,-18.76137583,-0.119170079,0,-0.119170079,-7.866371456,-8.135093521,-16.00146498,1.010639002
Onyeka Okongwu,okongon01,2021,RS,ATL,50,1270,601,-1.429894939,0.876945229,-0.55294971,-3.016672224,-2.553601056,-5.57027328,-1.891745208,0.197488634,-1.694256574,0.323011454,0.323011454,0,-2.227124082,0.027589259,-2.199534823,-0.221890173
Isaac Okoro,okorois01,2021,RS,CLE,67,4440,2173,-3.059569336,-1.287651762,-4.347221098,-1.449370096,-1.367744232,-2.817114329,-2.861340154,-1.351161004,-4.212501157,-1.60724259,-1.60724259,0,-3.452723825,-0.208046612,-3.660770437,-0.883120106
KZ Okpala,okpalkz01,2021,PO,MIA,37,11,6,-8.839323905,-16.38265834,-25.22198224,8.894391349,-5.39686708,3.497524269,-5.509578436,-15.09140304,-20.60098148,-0.054620817,0,-0.054620817,-2.339682014,-16.7142662,-19.05394821,-3.019983276
KZ Okpala,okpalkz01,2021,RS,MIA,37,917,447,-5.193635435,0.095601209,-5.098034227,-4.940686093,-1.792838299,-6.733524392,-5.453601489,-0.299869437,-5.753470926,-0.682596576,-0.682596576,0,-5.936586878,-0.392099879,-6.328686757,-0.34985049
Victor Oladipo,oladivi01,2021,RS,MIA,4,231,111,-6.472811691,0.438201735,-6.034609956,-4.577811528,0.590515279,-3.987296249,-6.459406088,0.481321827,-5.978084261,-0.186860773,-0.186860773,0,-3.407102144,1.823881879,-1.583220264,2.235486965
Victor Oladipo,oladivi01,2021,RS,IND,9,623,300,2.01387344,2.128225736,4.142099176,4.629761543,-1.797126785,2.832634758,2.660231678,1.442387319,4.102618997,1.058766611,1.058766611,0,2.730822136,2.296049562,5.026871698,0.953552232
Victor Oladipo,oladivi01,2021,RS,HOU,20,1422,669,-2.000085066,1.241031293,-0.759053773,-4.964249069,3.232204697,-1.732044372,-2.602988265,1.781950815,-0.821037451,0.663583738,0.663583738,0,-2.775297431,1.445648924,-1.329648507,0.794882131
Cameron Oliver,oliveca01,2021,RS,HOU,4,188,87,-0.198295894,-4.953245008,-5.151540902,2.986347481,-3.731880974,-0.745533493,0.522607321,-4.935322012,-4.412714691,-0.073646461,-0.073646461,0,0.535540649,-3.338272198,-2.802731549,-0.214969509
Kelly Olynyk,olynyke01,2021,RS,MIA,43,2383,1157,-2.132567325,-0.53032,-2.662887325,0.203599255,0.535613663,0.739212919,-1.764009968,-0.350198721,-2.114208689,0.377053802,0.377053802,0,-0.648510834,0.420059074,-0.22845176,0.469570925
Kelly Olynyk,olynyke01,2021,RS,HOU,27,1819,840,3.732737621,-0.407420158,3.325317464,1.459574394,-3.9153718,-2.455797406,3.578131065,-1.099777865,2.4783532,2.281545907,2.281545907,0,2.758856872,0.322432485,3.081289357,1.840481511
Royce O'Neale,onealro01,2021,PO,UTA,71,206,102,0.85418586,1.996714176,2.850900036,-3.60515357,-10.36876735,-13.97392092,-0.0553658,-0.413774767,-0.469140567,0.11936771,0,0.11936771,-1.645943866,-0.972882281,-2.618826148,-2.440652367
Royce O'Neale,onealro01,2021,RS,UTA,71,4644,2241,-0.553789675,2.214219747,1.660430072,2.285606272,-0.589689199,1.695917073,-0.044599635,1.697262131,1.652662495,5.002022657,5.002022657,0,0.142838136,2.674068661,2.816906797,-0.637846464
Miye Oni,onimi01,2021,PO,UTA,54,24,11,-7.813391097,6.654713454,-1.158677643,-16.53322162,18.30232445,1.769102834,-10.05968749,9.496451983,-0.563235511,0.012690139,0,0.012690139,-9.880042752,3.902717219,-5.977325533,0.253023828
Miye Oni,onimi01,2021,RS,UTA,54,1099,519,-1.796046519,-1.262958487,-3.059005006,-1.246571317,3.454578819,2.208007501,-1.866262051,-0.448274942,-2.314536993,0.114867456,0.114867456,0,-1.861043173,-0.510166168,-2.371209341,-0.385704741
Cedi Osman,osmande01,2021,RS,CLE,59,3114,1510,-1.40893235,-1.981805387,-3.390737737,-1.380121517,-1.323393696,-2.703515213,-1.392327785,-1.933740943,-3.326068728,-0.44519943,-0.44519943,0,-1.545767763,-1.916063794,-3.461831557,0.317380429
Daniel Oturu,oturuda01,2021,RS,LAC,30,328,161,-3.440595346,-4.701773469,-8.142368815,-3.832192737,5.489756253,1.657563516,-3.806915098,-2.901968507,-6.708883605,-0.322857597,-0.322857597,0,-4.231241393,-3.902359714,-8.133601107,-0.724679716
Kelly Oubre Jr.,oubreke01,2021,RS,GSW,55,3675,1687,-2.546657419,1.500053396,-1.046604023,-7.805432468,-0.800405018,-8.605837487,-3.784620359,1.092721293,-2.691899066,0.050424235,0.050424235,0,-3.265113715,1.594059548,-1.671054167,0.840659107
