EOY_rank,player_name,player_id,Season,Reg Season,Age,team,First,Pts Won,Pts Max,Share,G,mp_pg,PTS_pg,TRB_pg,AST_pg,STL_pg,BLK_pg,FG%,3P%,FT%,WS,WS/48,BPM,VORP,raptor_box_total,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season
10T,Stephen Curry,curryst01,2018,RS,29,GSW,0,5,1010,0.005,51,32,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,0.267,7.7,4,7.19783185,7.232074184,9.182645177,-1.655314675,7.527330502,8.773362408,8.773362408
12,Joel Embiid,embiijo01,2018,RS,23,PHI,0,4,1010,0.004,63,30.3,22.9,11,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155,3.3,2.6,3.137662295,6.603111345,0.53088029,3.436093577,3.966973867,6.599080943,6.599080943
13,Victor Oladipo,oladivi01,2018,RS,25,IND,0,2,1010,0.002,75,34,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155,5.8,5,6.181831581,7.916145695,3.341939304,3.52414286,6.866082163,12.68972583,12.68972583
1,Russell Westbrook,westbru01,2017,RS,28,OKC,69,888,1010,0.879,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,11.1,9.3,6.101997631,6.114069979,7.803999299,-1.272229854,6.531769445,13.8163326,13.8163326
2,James Harden,hardeja01,2017,RS,27,HOU,22,753,1010,0.746,81,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15,0.245,8.7,8,7.97899344,1.982384107,7.940983331,-0.826351923,7.114631408,15.19910181,15.19910181
3,Kawhi Leonard,leonaka01,2017,RS,25,SAS,9,500,1010,0.495,74,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264,9.4,7.1,8.972152523,3.526491317,6.592603457,1.702580777,8.295184234,13.91095985,13.91095985
4,LeBron James,jamesle01,2017,RS,32,CLE,1,333,1010,0.33,74,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221,7.6,6.7,5.113890054,11.471183,6.225395622,0.401317041,6.626712663,13.4209829,13.4209829
5,Isaiah Thomas,thomais02,2017,RS,27,BOS,0,81,1010,0.08,76,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234,6.7,5.6,5.16948742,1.475726525,8.338011677,-3.64582671,4.692184967,9.831910381,9.831910381
6,Stephen Curry,curryst01,2017,RS,28,GSW,0,52,1010,0.051,79,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,12.6,0.229,6.9,5.9,7.221199946,11.95777283,8.652860801,-0.203338714,8.449522087,15.61961184,15.61961184
7T,Giannis Antetokounmpo,antetgi01,2017,RS,22,MIL,0,7,1010,0.007,80,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21,7.3,6.7,5.646601102,1.26702816,2.717066186,2.372550918,5.089617104,11.32471852,11.32471852
7T,John Wall,walljo01,2017,RS,26,WAS,0,7,1010,0.007,78,36.4,23.1,4.2,10.7,2,0.6,0.451,0.327,0.801,8.8,0.149,4.7,4.8,3.223065005,4.390365529,4.445788309,-0.871645609,3.5741427,9.299071052,9.299071052
9T,Anthony Davis,davisan02,2017,RS,23,NOP,0,2,1010,0.002,75,36.1,28,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11,0.195,5.9,5.4,4.554551637,5.37157395,0.581632221,4.449178164,5.030810385,10.80842731,10.80842731
9T,Kevin Durant,duranke01,2017,RS,28,GSW,0,2,1010,0.002,62,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12,0.278,8.9,5.7,7.224554981,4.349693281,5.168093688,1.691747703,6.859841391,10.2604669,10.2604669
11,DeMar DeRozan,derozde01,2017,RS,27,TOR,0,1,1010,0.001,74,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,9,0.166,3,3.3,1.611522419,-4.251875215,2.503249228,-2.047330744,0.455918484,4.275640209,4.275640209
1,Stephen Curry,curryst01,2016,RS,27,GSW,131,1310,1310,1,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,11.9,9.5,13.29516607,13.4642298,11.07230112,2.789797886,13.862099,23.659318,23.659318
2,Kawhi Leonard,leonaka01,2016,RS,24,SAS,0,634,1310,0.484,72,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,13.7,0.277,9.1,6.7,10.03888909,8.135405469,5.002361916,5.078321168,10.08068308,15.5292184,15.5292184
3,LeBron James,jamesle01,2016,RS,31,CLE,0,631,1310,0.482,76,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242,9,7.5,5.900632831,12.26484613,6.090796578,1.362443471,7.453240049,14.18284805,14.18284805
4,Russell Westbrook,westbru01,2016,RS,27,OKC,0,486,1310,0.371,80,34.4,23.5,7.8,10.4,2,0.3,0.454,0.296,0.812,14,0.245,7.8,6.8,5.768589446,7.810558769,6.410521969,-0.006011387,6.404510582,13.08630521,13.08630521
5,Kevin Durant,duranke01,2016,RS,27,OKC,0,147,1310,0.112,72,35.8,28.2,8.2,5,1,1.2,0.505,0.387,0.898,14.5,0.27,9.9,7.8,5.706328524,7.194899219,6.237833062,-0.022718012,6.21511505,11.99072663,11.99072663
6,Chris Paul,paulch01,2016,RS,30,LAC,0,107,1310,0.082,74,32.7,19.5,4.2,10,2.1,0.2,0.462,0.371,0.896,12.7,0.253,7.9,6,8.237936942,10.08217275,7.479054991,1.562456609,9.0415116,14.55487191,14.55487191
